news_media,Tweet,Tweet_Date,Sentiment_Compound,Sentiment_Positive,Sentiment_Neutral,Sentiment_Negative,News_Media
,"A powerful nor'easter is slamming the East Coast and has the potential to be an historic, crippling event for Southern New England -- with major coastal flooding. Here's what you need to know https://t.co/PPQFsNAsz1 https://t.co/KZT3kLNSLp",2018-03-02 22:01:30,0.4215,0.078,0.922,0.0,@CBSNews
,The 90th Academy Awards Sunday night marks the end of the 2018 awards season. Here's how to watch the Oscars https://t.co/ZJIRodDrUR https://t.co/2ENFtcwrak,2018-03-02 21:36:01,0.7184,0.231,0.769,0.0,@CBSNews
,"After Pres. Trump appeared to express support for some Democratic ideas on gun laws on Wednesday, executive director of NRA says Trump does not ""want gun control"" https://t.co/KpEs65GQSW https://t.co/YOsMcwQQov",2018-03-02 20:39:57,-0.323,0.08,0.741,0.179,@CBSNews
,Apparently Stephen Curry's golf swing is not up to par with his three-point shooting -- he left a hotel room in shambles after an errant golf swing: https://t.co/DJFV6IdTFy https://t.co/z8hKibU1pl,2018-03-02 20:00:01,0.0,0.0,1.0,0.0,@CBSNews
,The Suspect in the killing of Virginia mom TerriLynn St. John described the fatal confrontation to police: https://t.co/PsyHpS8jqi https://t.co/UL5YyUUBAo,2018-03-02 19:40:02,-0.9081,0.0,0.547,0.453,@CBSNews
,Report: Deputies were ordered to form a perimeter instead of confronting the Florida school shooting gunman https://t.co/a9ACkX5GcD https://t.co/1lEIqVvvrb,2018-03-02 19:21:02,-0.1531,0.0,0.909,0.091,@CBSNews
,"Ex-CIA chief warns ISIS could send chemical weapon ""recipe"" to followers in U.S. https://t.co/uqsL4hrT6R https://t.co/Y2jt6OyeJ0",2018-03-02 19:00:02,-0.3818,0.0,0.783,0.217,@CBSNews
,"Stars won't be wearing black to show solidarity with the #TimesUp movement at Sunday's Academy Awards, but that doesn't mean the movement will be absent https://t.co/R2noR54WIw https://t.co/d2kmWhA55R",2018-03-02 18:40:01,0.3818,0.126,0.874,0.0,@CBSNews
,"U.S. makes Cuba staffing cuts permanent in the wake of the ""health attacks""that remain unexplained https://t.co/bSH1QMwM1R https://t.co/Pz5PVyjReH",2018-03-02 18:20:01,-0.296,0.0,0.879,0.121,@CBSNews
,"Pilot describes flying through winter storm: ""Pretty much every one on the plane threw up"" https://t.co/ejJFt2UPYP https://t.co/KDEusYSWZB",2018-03-02 18:00:02,0.4939,0.167,0.833,0.0,@CBSNews
,"Stocks are slumping hard again Friday morning, as Wall Street is hit by trade and rate fears. This threatens a retest of February's panic lows as the Dow Jones Industrial Average loses its critical 50-day moving average https://t.co/t41mIOaE6V https://t.co/LqCJzCjcKk",2018-03-02 17:40:01,-0.926,0.0,0.653,0.347,@CBSNews
,"Delta on Friday said it is ""troubled"" by a vote by Georgia lawmakers to kill a state tax break to the Atlanta-based carrier to punish it for discontinuing discounts to members of the NRA https://t.co/zMtUPnf9DN https://t.co/ZlMF99FyfM",2018-03-02 17:20:01,-0.8442,0.0,0.798,0.202,@CBSNews
,"Mourners, including President Trump and first lady Melania Trump gather to pay their respects to Rev. Billy Graham at a funeral that marks about a week of tributes to “America’s Pastor"" https://t.co/5VgSTbKArY https://t.co/HvY7E9gDSw",2018-03-02 17:08:28,-0.5267,0.064,0.75,0.186,@CBSNews
